repository,total_loc,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,repository_full_name,popularidade_estrelas,atividade_releases,maturidade_anos
AndroidAutoSize,1720,5.408163265306122,4.0,4.237326040416186,1.4081632653061225,1.0,0.4965869908241478,31.285714285714285,1.0,136.30022010253688,JessYanCoding/AndroidAutoSize,13693,14,7.07
android,46616,9.293069306930692,4.0,14.756665546818606,1.687128712871287,1.0,1.1654469275517476,114.5049504950495,1.0,693.9264407942534,nextcloud/android,4838,261,9.26
android,46616,9.293069306930692,4.0,14.756665546818606,1.687128712871287,1.0,1.1654469275517476,114.5049504950495,1.0,693.9264407942534,cSploit/android,3504,33,10.94
AndroidHttpCapture,15900,4.712933753943218,3.0,6.567776383146375,1.416403785488959,1.0,0.7976125378226911,37.003154574132495,0.0,259.30461411515523,JZ-Darkal/AndroidHttpCapture,4532,1,8.9
AndroidImageSlider,3813,4.063492063492063,2.0,7.079896609125287,1.5714285714285714,1.0,0.7769727382249009,59.095238095238095,1.0,361.2101842902869,daimajia/AndroidImageSlider,5618,5,11.28
androidmvp,274,3.2857142857142856,2.0,3.7709123855878985,1.2857142857142858,1.0,0.4688072309384954,3.0,0.0,4.640954808922571,antoniolg/androidmvp,5924,0,11.44
AndroidNote,402,4.875,1.0,5.986592162013855,1.375,1.0,0.5175491695067657,8.125,3.0,12.744046228953906,GcsSloop/AndroidNote,9291,0,9.68
AndroidPdfViewer,3328,4.947368421052632,1.0,8.270906524489448,1.2456140350877194,1.0,0.6059438256138094,76.78947368421052,0.0,440.4714494088815,DImuthuUpe/AndroidPdfViewer,8359,0,9.27
AndroidPerformanceMonitor,2234,4.074074074074074,3.0,3.942280978718313,1.2777777777777777,1.0,0.5290313921087083,14.074074074074074,0.0,37.24921265565364,markzhai/AndroidPerformanceMonitor,6725,0,9.65
AndroidPicker,13541,5.435146443514644,3.0,6.866905401226127,1.6443514644351465,1.0,1.264861028798111,51.71548117154812,0.0,331.96498405958306,gzu-liyujiang/AndroidPicker,6714,57,9.89
AndroidProject,20468,7.215083798882682,4.0,8.24968186255047,2.142458100558659,1.0,1.562636783365512,19.18435754189944,1.0,59.229218894685815,getActivity/AndroidProject,6715,17,6.89
AndroidSlidingUpPanel,2011,4.941176470588236,2.0,6.637682090113367,1.3529411764705883,1.0,0.7859052479933758,132.0,0.0,373.94067042781,umano/AndroidSlidingUpPanel,9501,8,12.28
AndroidStaggeredGrid,4010,5.861111111111111,3.0,6.586361569953379,1.8611111111111112,1.5,1.4172967786353567,155.88888888888889,0.5,666.9732390338473,etsy/AndroidStaggeredGrid,4752,7,11.75
AndroidSwipeLayout,2770,3.716216216216216,2.0,4.944958052844429,1.3243243243243243,1.0,0.599271432271895,58.9054054054054,0.0,480.28439545578254,daimajia/AndroidSwipeLayout,12409,18,11.05
AndroidTutorialForBeginners,3957,4.511627906976744,4.0,4.653822822203819,1.496124031007752,1.0,0.7301972230131556,2.744186046511628,0.0,6.917232861854244,hussien89aa/AndroidTutorialForBeginners,4530,0,8.96
AndroidUtilCode,39995,4.16865671641791,2.0,5.562250218243596,1.364179104477612,1.0,0.8356234289192939,144.95373134328358,0.0,960.505090692468,Blankj/AndroidUtilCode,33640,117,9.11
AndroidVideoCache,3217,4.831168831168832,3.0,4.891998293138332,1.4935064935064934,1.0,0.6614055333625073,14.324675324675324,1.0,34.24464674201362,danikula/AndroidVideoCache,5499,20,10.45
AndroidViewAnimations,965,3.3780487804878048,2.0,7.030164713491828,1.804878048780488,2.0,0.3987333150731603,2.292682926829268,0.0,12.889356126471698,daimajia/AndroidViewAnimations,12471,9,11.22
AndroidWiFiADB,1096,2.8666666666666667,2.0,3.1484351157616253,1.5,1.0,1.0747894741730135,12.133333333333333,0.0,23.72069274637265,pedrovgs/AndroidWiFiADB,4148,8,9.9
Android_Data,116,2.0,2.0,2.8284271247461903,1.0,1.0,0.0,3.0,3.0,4.242640687119285,Freelander/Android_Data,8843,0,10.44
AndroRAT,1793,2.872727272727273,2.0,3.834804285191606,1.1636363636363636,1.0,0.37335497772755,1.3818181818181818,0.0,5.005518839762654,karma9874/AndroRAT,4117,0,5.47
AndServer,12029,5.0233644859813085,3.0,6.298104334206797,1.5420560747663552,1.0,1.1929399028720318,48.05140186915888,1.0,244.82167923294435,yanzhenjie/AndServer,3819,1,9.24
angel,205066,7.424815983175605,5.0,10.05688054176063,1.7392218717139851,2.0,0.8777613820714245,63.41955835962145,0.0,591.9828116028884,Angel-ML/angel,6776,19,8.38
ansj_seg,12130,6.31651376146789,4.0,5.863721373251608,1.188073394495413,1.0,0.43620161293029,9.577981651376149,0.0,42.668218150599245,NLPchina/ansj_seg,6529,3,13.02
Ant-Media-Server,107438,5.716568544995795,2.0,9.456683258356234,1.3254835996635828,1.0,0.7265050828887061,183.49116904962156,1.0,2599.012497517778,ant-media/Ant-Media-Server,4516,64,8.53
AntennaPod,51766,7.420537897310513,5.0,8.938613919649937,1.4841075794621026,1.0,0.7825306517770618,21.410757946210268,1.0,106.38871237861204,AntennaPod/AntennaPod,7233,62,13.11
antlr4,41027,5.773413897280967,3.0,7.225983967839099,1.8353474320241687,1.0,1.1662506160258557,48.30211480362538,0.0,192.8634281868409,antlr/antlr4,18323,31,15.6
api-samples,2541,6.404761904761905,7.0,4.412065075971899,1.0,1.0,0.0,4.380952380952381,0.0,9.847501554999925,youtube/api-samples,5800,0,11.75
APIJSON,13844,5.885714285714286,3.0,8.67203210249763,1.2428571428571429,1.0,0.6688886366814536,1165.571428571429,6.0,5422.453972974498,Tencent/APIJSON,18187,110,8.8
Apktool,9605,6.537931034482758,7.0,5.302018339032123,1.8413793103448275,2.0,0.99076192670202,50.710344827586205,1.0,326.790047219443,iBotPeaches/Apktool,22883,26,13.48
apollo,33499,7.26729986431479,6.0,6.792173197753017,1.2645861601085482,1.0,0.7046099163440513,14.985074626865671,0.0,56.8119614316666,apolloconfig/apollo,29655,41,9.52
AppManager,126733,7.919437340153452,5.0,9.16270253742952,1.4789002557544757,1.0,0.7521790517803821,73.82033248081841,1.0,1039.490293704548,MuntashirAkon/AppManager,6504,76,5.28
AppUpdate,2925,4.4375,3.0,6.012882994434691,1.15625,1.0,0.4070314523161609,37.140625,1.0,112.16256161560597,WVector/AppUpdate,3578,3,8.23
ArchUnit,80126,3.6097494553376905,2.0,7.094063320586142,1.2753267973856208,1.0,1.0478402127094826,39.49591503267974,0.0,483.8829106199806,TNG/ArchUnit,3490,43,8.39
Arduino,25793,4.131111111111111,2.0,6.051608861241207,1.768888888888889,1.0,1.9227650633242768,32.72222222222222,0.0,208.26102709599184,arduino/Arduino,14421,37,14.98
armeria,296024,6.454248366013072,5.0,6.558174855473009,1.3219732337379395,1.0,0.8656737444399238,33.440709617180204,0.0,255.75052773632893,line/armeria,4998,260,9.82
ARouter,3165,3.693877551020408,2.0,4.910347087623658,1.4081632653061225,1.0,0.7843407461424728,17.448979591836736,0.0,83.3326611937267,alibaba/ARouter,14493,16,8.74
arthas,47805,4.734243697478991,3.0,5.88889093472403,1.35609243697479,1.0,0.719478622905232,36.66386554621849,1.0,172.79938720881552,alibaba/arthas,36709,59,7.04
ASimpleCache,1993,4.448275862068965,2.0,5.248035053349231,1.4482758620689655,1.0,0.6316761657092368,38.51724137931034,0.0,109.50330089273082,yangfuhai/ASimpleCache,3677,0,12.12
async-http-client,29573,5.804835924006908,4.0,6.443384856369247,1.5664939550949917,1.0,0.9577492924264296,41.50086355785837,1.0,247.65635287006072,AsyncHttpClient/async-http-client,6390,7,14.52
atlas,157514,5.638559708295351,4.0,6.71959307365771,1.4357338195077485,1.0,0.917340291033482,29.88422971741112,1.0,157.48839315413363,alibaba/atlas,8151,7,8.53
atmosphere,36660,5.496626180836707,3.0,6.644571200596779,1.3076923076923077,1.0,0.8086075400626399,55.02564102564103,1.0,591.173940325542,Atmosphere/atmosphere,3720,0,15.2
aurora-imui,17789,4.807017543859649,2.5,7.042240203983417,1.5292397660818713,1.0,1.4360335588788788,50.26900584795322,0.0,407.50148247022497,jpush/aurora-imui,5716,42,8.74
aurora,4956,7.287625418060201,6.0,6.591957733370746,1.117056856187291,1.0,0.3613129025305486,7.25752508361204,0.0,80.0901164119167,linhaojun857/aurora,4445,0,3.06
austin,6538,6.2298850574712645,5.0,5.075115647353505,1.1235632183908046,1.0,0.3784039803712345,1.4511494252873562,0.0,5.117120931627918,ZhongFuCheng3y/austin,5886,0,3.85
auto,31941,4.114135206321334,3.0,8.609328044052212,1.7058823529411764,1.0,3.252479193407077,25.593503072870934,1.0,270.46894248794484,google/auto,10520,66,12.3
AutoJs6,111419,5.149886877828054,3.0,6.557019074114373,1.4649321266968325,1.0,0.8778948529673445,37.23359728506787,1.0,200.5849404863863,SuperMonster003/AutoJs6,4585,20,3.78
automq,669843,7.190934660320208,4.0,12.017459981369726,1.4000432713111208,1.0,1.0337086137172775,45.34249242752056,0.0,594.4580891377583,AutoMQ/automq,7045,70,2.07
aviatorscript,37362,4.635496183206107,3.0,6.710822823288407,1.498091603053435,1.0,0.7760739694928475,60.982824427480914,1.0,379.8566974572085,killme2008/aviatorscript,4974,52,14.46
AVLoadingIndicatorView,2161,3.565217391304348,2.0,2.3641291304893404,1.7826086956521738,1.0,1.046460144587107,6.75,0.0,42.84462729342021,HarlonWang/AVLoadingIndicatorView,9772,1,9.88
